Time,"Charlotte - Tenth St, Pedestrians","Charlotte - Pecan Ave, Pedestrians","Charlotte - South Tryon Rd, Pedestrians","Charlotte - North Tryon Rd, Pedestrians","Charlotte - Stonewall St, Pedestrians","Charlotte - University City Blvd, Pedestrians","Charlotte - Selwyn Ave, Pedestrians","Charlotte - 4th St Extension, Pedestrians","Charlotte - Elizabeth Ave, Pedestrians","Charlotte - Blue Line Trail, Pedestrians"
03-04-2017 00:00:00,,194,2559,737,180,331,164,79,504,
04-04-2017 00:00:00,,462,3493,764,349,462,317,195,737,
05-04-2017 00:00:00,,162,2749,692,159,417,187,66,610,662
06-04-2017 00:00:00,,290,3213,688,195,401,213,150,750,1187
07-04-2017 00:00:00,,454,2701,710,249,346,253,103,490,1214
08-04-2017 00:00:00,,560,1048,532,355,254,385,183,364,2074
09-04-2017 00:00:00,,482,963,691,219,230,371,214,273,2018
10-04-2017 00:00:00,,429,3248,698,283,324,323,157,853,1807
11-04-2017 00:00:00,,432,3471,865,283,448,314,195,758,1955
12-04-2017 00:00:00,,410,3282,662,312,403,294,133,704,1885
13-04-2017 00:00:00,,430,3223,732,220,395,245,178,699,2043
14-04-2017 00:00:00,,504,2153,751,230,282,278,139,288,2143
15-04-2017 00:00:00,,592,985,746,246,215,366,172,300,2255
16-04-2017 00:00:00,,450,798,739,161,184,329,168,172,1562
17-04-2017 00:00:00,,347,3227,703,254,354,275,168,628,1260
18-04-2017 00:00:00,,312,3285,674,265,471,282,117,747,1323
19-04-2017 00:00:00,,269,2870,517,182,458,224,82,608,1076
20-04-2017 00:00:00,,446,3491,675,452,416,305,152,745,1815
21-04-2017 00:00:00,,484,3010,842,376,339,236,163,525,1816
22-04-2017 00:00:00,,625,1235,581,439,198,381,207,471,2071
23-04-2017 00:00:00,,146,293,403,66,120,124,36,47,326
24-04-2017 00:00:00,,88,2225,382,72,329,41,21,307,191
25-04-2017 00:00:00,,340,3212,731,254,441,275,130,646,1574
26-04-2017 00:00:00,,,3387,766,339,512,324,226,805,2032
27-04-2017 00:00:00,,,3198,646,203,427,265,176,667,1361
28-04-2017 00:00:00,,,2827,737,277,336,248,187,510,1862
29-04-2017 00:00:00,,,959,804,228,174,283,249,532,3787
30-04-2017 00:00:00,,,898,827,254,182,306,246,183,1780
01-05-2017 00:00:00,,,,692,258,352,158,118,513,809
02-05-2017 00:00:00,,,,755,377,466,379,227,739,2163
03-05-2017 00:00:00,,,,738,348,380,287,171,705,1845
04-05-2017 00:00:00,,,,624,223,455,269,88,737,979
05-05-2017 00:00:00,,,,670,212,327,207,160,539,1247
06-05-2017 00:00:00,,,,530,318,236,298,95,287,1196
07-05-2017 00:00:00,,,,699,257,253,414,239,556,2221
08-05-2017 00:00:00,,,,738,346,417,297,177,706,1806
09-05-2017 00:00:00,,,,650,436,419,266,174,717,1685
10-05-2017 00:00:00,,,,687,291,444,317,179,646,1768
11-05-2017 00:00:00,,,,743,279,287,234,109,597,1511
12-05-2017 00:00:00,,,,681,184,321,198,78,539,872
13-05-2017 00:00:00,,,,555,309,255,355,113,257,2038
14-05-2017 00:00:00,,,,662,232,261,435,182,259,1668
15-05-2017 00:00:00,,,,773,337,289,307,153,538,1613
16-05-2017 00:00:00,,,,706,294,230,269,195,404,1579
17-05-2017 00:00:00,,,,610,234,264,318,158,469,1697
18-05-2017 00:00:00,,,,702,236,277,218,167,506,1517
19-05-2017 00:00:00,,,,875,214,273,223,104,361,1500
20-05-2017 00:00:00,,,,594,233,213,310,265,274,1854
21-05-2017 00:00:00,,,,810,183,153,237,106,144,956
22-05-2017 00:00:00,,,,663,281,306,255,189,634,1318
23-05-2017 00:00:00,,,,576,158,253,132,84,401,818
24-05-2017 00:00:00,,,,759,186,269,152,85,530,737
25-05-2017 00:00:00,,,,847,269,345,220,126,640,1567
26-05-2017 00:00:00,,,,916,284,349,241,151,301,1878
27-05-2017 00:00:00,,,,776,267,167,273,172,,1352
28-05-2017 00:00:00,,,,753,182,178,227,118,,1258
29-05-2017 00:00:00,,,,852,144,161,230,134,177,1073
30-05-2017 00:00:00,,,,826,270,327,241,213,566,1573
31-05-2017 00:00:00,,,,743,212,293,268,120,570,1323
01-06-2017 00:00:00,,,,687,227,318,330,144,522,1797
02-06-2017 00:00:00,,,,676,238,296,256,177,255,2018
03-06-2017 00:00:00,,,,571,328,201,331,148,299,1561
04-06-2017 00:00:00,,,,582,193,193,299,115,123,1475
05-06-2017 00:00:00,,,,608,258,295,121,109,424,906
06-06-2017 00:00:00,,,,764,249,333,312,176,572,1738
07-06-2017 00:00:00,,,,738,340,353,324,170,582,1863
08-06-2017 00:00:00,,,,749,274,357,287,190,632,1808
09-06-2017 00:00:00,,,,800,224,310,225,174,360,2088
10-06-2017 00:00:00,,,,683,296,251,319,198,298,1751
11-06-2017 00:00:00,,,,690,220,211,344,139,152,1393
12-06-2017 00:00:00,,,,648,306,290,289,152,380,1514
13-06-2017 00:00:00,,,,623,191,268,255,173,417,945
14-06-2017 00:00:00,,,,644,323,277,310,150,498,1677
15-06-2017 00:00:00,,,,626,192,320,217,116,418,1034
16-06-2017 00:00:00,,,,652,237,242,255,139,237,1625
17-06-2017 00:00:00,,,,585,262,207,276,152,237,1683
18-06-2017 00:00:00,,,,790,187,120,273,131,166,1381
19-06-2017 00:00:00,,,,721,299,231,253,144,419,1496
20-06-2017 00:00:00,,,,796,284,292,215,155,393,1176
21-06-2017 00:00:00,,,,797,246,331,256,168,529,1680
22-06-2017 00:00:00,,,,629,245,252,203,90,379,1225
23-06-2017 00:00:00,,,,691,253,192,202,108,282,1741
24-06-2017 00:00:00,,,,628,305,188,283,153,209,1462
25-06-2017 00:00:00,,,,766,387,213,321,272,162,1655
26-06-2017 00:00:00,,,,841,414,379,295,195,460,1720
27-06-2017 00:00:00,,,,794,406,284,340,198,554,1912
28-06-2017 00:00:00,,,,718,383,280,338,202,593,1772
29-06-2017 00:00:00,,,,581,367,251,250,210,535,1480
30-06-2017 00:00:00,,,,846,339,172,171,127,203,1266
01-07-2017 00:00:00,,,,583,377,175,221,78,180,959
02-07-2017 00:00:00,,,,759,270,171,273,188,105,1218
03-07-2017 00:00:00,,,,726,185,131,205,146,133,899
04-07-2017 00:00:00,,,,621,227,249,275,272,205,1223
05-07-2017 00:00:00,,,,756,189,294,205,131,423,951
06-07-2017 00:00:00,,,,615,237,288,200,172,414,1462
07-07-2017 00:00:00,,,,682,203,169,194,113,195,2047
08-07-2017 00:00:00,,,,638,260,293,296,148,179,1359
09-07-2017 00:00:00,,,,700,213,193,314,170,225,1780
10-07-2017 00:00:00,,,,707,291,237,263,177,444,1552
11-07-2017 00:00:00,,,,795,267,207,238,166,529,1447
12-07-2017 00:00:00,,,,665,274,191,223,206,456,1268
